companyId,companyName,companyUrl,location,sector
36232.0,KellyMitchell Group,https://www.linkedin.com/company/kelly-mitchell-group-inc?trk=public_jobs_topcard-org-name,"Orlando, FL",IT Services and IT Consulting
15691.0,Interstate Batteries,https://www.linkedin.com/company/interstate-batteries?trk=public_jobs_topcard-org-name,"Dallas, TX",Manufacturing
15249661.0,The California State University,https://www.linkedin.com/school/the-california-state-university/?trk=public_jobs_topcard-org-name,"San Jose, CA",Higher Education
78445528.0,PRO IT USA,https://www.linkedin.com/company/proit-usa?trk=public_jobs_topcard-org-name,"New York, NY",Human Resources
74012521.0,Evio,https://www.linkedin.com/company/eviopharmacysolutions?trk=public_jobs_topcard-org-name,United States,"Software Development, Technology, Information and Internet, and IT Services and IT Consulting"
136203.0,Droisys,https://www.linkedin.com/company/droisys?trk=public_jobs_topcard-org-name,United States,Software Development
22456.0,Beacon Hill,https://www.linkedin.com/company/beacon-hill-bhsg?trk=public_jobs_topcard-org-name,"Frankford, NJ",Data Infrastructure and Analytics
2289109.0,Instagram,https://www.linkedin.com/company/instagram?trk=public_jobs_topcard-org-name,"New York, NY","Technology, Information and Internet"
7577299.0,Wider Circle,https://www.linkedin.com/company/widercircle?trk=public_jobs_topcard-org-name,United States,IT Services and IT Consulting
3650502.0,Figma,https://www.linkedin.com/company/figma?trk=public_jobs_topcard-org-name,"New York, NY",Design Services
523382.0,INVISTA,https://www.linkedin.com/company/invista?trk=public_jobs_topcard-org-name,"Wichita, KS",Chemical Manufacturing
11028146.0,MotoRad Ltd.,https://il.linkedin.com/company/motorad?trk=public_jobs_topcard-org-name,"Roswell, GA",Motor Vehicle Manufacturing
95313.0,TalentBridge,https://www.linkedin.com/company/talentbridge?trk=public_jobs_topcard-org-name,"San Jose, CA",Software Development and IT System Custom Software Development
36095797.0,EvenUp,https://www.linkedin.com/company/evenup?trk=public_jobs_topcard-org-name,"San Francisco, CA","Technology, Information and Internet"
96668235.0,"NasTech Global, Inc.,",https://www.linkedin.com/company/nastechglobal?trk=public_jobs_topcard-org-name,"Nashville, TN",IT Services and IT Consulting
49151727.0,Publicis Collective,https://www.linkedin.com/company/publicis-collective?trk=public_jobs_topcard-org-name,"New York, NY",Advertising Services
445873.0,McCarthy & Holthus LLP,https://www.linkedin.com/company/mccarthy-&-holthus-llp?trk=public_jobs_topcard-org-name,"San Diego, CA",Law Practice
23662.0,Kimball Midwest,https://www.linkedin.com/company/kimball-midwest?trk=public_jobs_topcard-org-name,"Columbus, OH",Wholesale
86694680.0,Ascendion,https://www.linkedin.com/company/ascendion?trk=public_jobs_topcard-org-name,"McLean, VA",Banking and Financial Services
162515.0,Aristotle,https://www.linkedin.com/company/aristotle?trk=public_jobs_topcard-org-name,"Provo, UT",IT Services and IT Consulting
18476.0,Brooksource,https://www.linkedin.com/company/brooksource?trk=public_jobs_topcard-org-name,Cincinnati Metropolitan Area,"Financial Services, Banking, and Investment Banking"
1097.0,Verizon Data Services,https://www.linkedin.com/company/verizon-data-services?trk=public_jobs_topcard-org-name,"Ashburn, VA",Telecommunications
9319439.0,Bombora,https://www.linkedin.com/company/bomboradata?trk=public_jobs_topcard-org-name,"Reno, NV","Technology, Information and Internet"
3653845.0,Snowflake,https://www.linkedin.com/company/snowflake-computing?trk=public_jobs_topcard-org-name,"Bellevue, WA",Software Development
